message_id,message_text,spam_label
1,"URGENT: Your mobile number has won $500,000 in our prize draw! Call now to claim: +1-555-123-4567. Don't miss this chance!",1
2,"CONGRATULATIONS! You've been selected for a free iPhone 14! Click here to claim: www.free-iphone-claim.xyz",1
3,"Your package delivery #8742 is pending. Update delivery address within 24hrs: bit.ly/pkg-update",1
4,"NETFLIX: Your account has been suspended. Update your payment info: netflx-account-verify.com",1
5,"50% OFF at Fashion World! Limited time offer. Shop now: fw-sales.site/discount",1
6,"Your bank account has been compromised. Call security team now: 888-555-9876",1
7,"Dear customer, your Apple ID has been locked for security reasons. Verify identity: secure-apple-id.com",1
8,"BREAKING: New government regulation allows citizens to clear ALL debt legally. Find out how: debt-freedom.xyz",1
9,"Hi this is Jenny from dating service. I saw your profile and want to meet. Text me: +1-555-765-4321",1
10,"FINAL NOTICE: Your car warranty is about to expire. Last chance to extend coverage. Call: 800-555-1234",1
11,"ALERT: Unusual activity detected in your account. Verify transactions: secure-bank-verify.com",1
12,"Congratulations! You've been pre-approved for a $50,000 loan with low interest. Apply now: ez-loan-apply.com",1
13,"Your utility bill payment failed. Service will be disconnected in 24 hours. Update payment: utilitypay-secure.com",1
14,"You have 1 unread message from your secret admirer. View now: date-match.xyz/message",1
15,"ATTENTION: Your Social Security Number has been suspended due to suspicious activity. Call: 866-555-4321",1
16,"Your prescription is ready for pickup. Get 70% discount with this code: RX7042. Details: meds-discount.site",1
17,"You have won a $1,000 Walmart gift card. Claim now: walmart-gift.xyz/claim",1
18,"This is your carrier: Your phone bill is past due. Avoid service interruption: mobilepay-now.com",1
19,"URGENT Tax Refund: You are eligible for $1,249.50 tax refund. Submit claim: tax-refund-gov.xyz",1
20,"Your order #43298 has been shipped. Track delivery status: amaz0n-tracking.site",1
21,"Investment Alert: This penny stock is set to explode 500% next week! Buy now: stock-goldmine.xyz",1
22,"Your account access will be terminated. Verify identity: secure-account-verify.com",1
23,"FINAL WARNING: Your vehicle is showing in our system as uninsured. Avoid penalties: auto-insure-now.site",1
24,"IMPORTANT: Your recent payment was declined. Update payment method: paypal-secure-update.com",1
25,"Congratulations! You've been selected for our exclusive survey. Complete for $90 reward: survey-rewards.xyz",1
26,"ATTENTION CUSTOMER: Your internet service will be disconnected. Pay now: internet-billing.site",1
27,"Your CV was found in our database. $95k position available. Apply now: career-opportunity.xyz",1
28,"COURT NOTICE: You are scheduled to appear. Case #CR7231. Details: court-notice.site",1
29,"Your phone has 3 virus! Click to scan and remove: virus-removal.xyz",1
30,"FREE: Get your credit score and report now! Limited offer: free-credit-check.site",1
31,"WINNER ALERT: You've been selected to receive a $250 Amazon gift card. Claim now: amazon-rewards.site",1
32,"URGENT: Your credit card has been charged $499. If unauthorized call: +1-888-555-3214",1
33,"Your Apple iCloud account will be deleted in 24 hours. Verify now: secure-icloud-verify.com",1
34,"ATTENTION: We've been trying to reach you about your car's extended warranty. Last chance: 800-555-9876",1
35,"Congratulations! You qualify for student loan forgiveness. Apply here: loan-forgive-gov.xyz",1
36,"SECURITY ALERT: Suspicious sign-in attempt on your Google account. Verify now: google-secure-verify.com",1
37,"Your parcel #UK45692 is on hold. Confirm delivery address: royal-mail-delivery.site",1
38,"50% OFF EVERYTHING at Nike! Limited time offer: nike-special-deals.xyz",1
39,"ACTION REQUIRED: Your PayPal account has been limited. Update info: paypal-account-service.com",1
40,"URGENT: Your electricity will be disconnected tonight. Pay now: utility-pay-online.site",1
41,"Your Bitcoin wallet has been credited with 0.5 BTC. Confirm receipt: bitcoin-wallet-verify.xyz",1
42,"FINAL NOTICE: Your tax records are out of date. Avoid penalties: irs-tax-update.site",1
43,"You've been selected for a $50 Starbucks gift card! Claim now: starbucks-rewards.xyz",1
