label,message
ham,"Hey, are we still meeting for coffee tomorrow at 3?"
spam,"CONGRATULATIONS! You've WON a FREE iPhone 14! Click here to claim: bit.ly/claim-prize"
ham,"Don't forget to pick up milk on your way home please"
spam,"URGENT: Your bank account has been suspended. Call immediately: +1-888-555-0123"
ham,"The meeting has been moved to 2pm instead of 3pm. See you there."
spam,"Dear Customer: Your bill payment FAILED. Verify payment details now: secure-acc.com/verify"
ham,"Happy birthday! Hope you have an amazing day :)"
spam,"50% OFF all items! Limited time offer. Shop now: amzn-deals.co/sale"
ham,"I'll be about 15 minutes late, traffic is terrible today"
spam,"You have (1) unread message from your SECRET CRUSH. Reply YES to view."
ham,"Can you send me the recipe for that pasta dish you made last week?"
spam,"ATTENTION: Your computer may be infected with VIRUS. Call tech support now: 888-123-4567"
ham,"Movie starts at 7:30, want to meet at the theater around 7:15?"
spam,"FINAL NOTICE: Your car warranty is about to expire! Extend coverage: autowarranty-protect.com"
ham,"Just landed! The flight was smooth. I'll text you when I get to the hotel."
spam,"Congratulations! You've been selected for a $1,000 Walmart gift card! Claim now: wmrt-gift.com"
ham,"Could you please pick up the kids from school today? I have to stay late at work."
spam,"ALERT: Suspicious activity detected on your credit card. Call now: 1-800-555-9876"
ham,"The party was amazing! You missed out. We'll have to catch up soon."
spam,"IMPORTANT: Your Netflix subscription has expired. Update payment info: nflx-renew.com"
ham,"Do we need anything else for dinner tonight besides the chicken?"
spam,"EXCLUSIVE: Make $5,000 weekly from home! No experience needed. Start now: easy-money.net"
ham,"Can you please send me the address for the doctor's office?"
spam,"Attention HSBC customer: Your account has been locked. Verify identity: hsbc-secure.co.uk"
ham,"I got the job! We should celebrate this weekend!"
spam,"Your package delivery failed. Last attempt tomorrow. Reschedule: fedx-delivery.com/schedule"
ham,"What time does the movie start tonight?"
spam,"SPECIAL OFFER: Get your FREE credit score and report today! Visit: credit-check-free.com"
ham,"Did you see the email about the company picnic next Friday?"
spam,"ALERT: Your Apple ID was used to sign in on a new device. Verify now: apple-id-verify.com"
ham,"Just wanted to check if you're feeling better today?"
spam,"FINAL WARNING: Your electricity will be disconnected in 24 hours. Pay now: utility-pay.net"
ham,"Can you grab my prescription from the pharmacy when you're out?"
spam,"You've won a $1000 Amazon gift card in our weekly draw! Claim now: amzn-winner.com/claim"
ham,"I'm at the grocery store. Do we need anything else besides what's on the list?"
spam,"Your PayPal account has been limited! Verify your information: paypl-secure.com"
ham,"The concert was amazing! The band played for almost 3 hours!"
spam,"URGENT: Your tax refund of $4,892 is pending. Confirm details: irs-refund.co/verify"
ham,"Could you please feed the cat tonight? I'll be home late."
spam,"HOT SINGLES in your area want to meet YOU! Click here: dating-local.net"
ham,"I forgot my laptop at home. Could you please bring it to the office?"
spam,"ATTENTION: Your Social Security Number has been suspended due to suspicious activity. Call: 888-555-7777"
ham,"Let's have dinner tomorrow night. That new Italian place downtown?"
spam,"WINNER! You've been selected to receive a $100 Starbucks gift card! Click: sbux-gift.com"
ham,"How did your interview go today?"
spam,"URGENT: Your Gmail account will be permanently deleted in 48 hours. Verify: google-verify.co"
ham,"The baby is finally asleep. It took forever!"
spam,"Get approved for a $5,000 loan today! No credit check required. Apply: quick-loans.org"
ham,"Can we reschedule our meeting to Thursday instead of tomorrow?"
spam,"IMPORTANT: Your order #45678 has been CANCELED. Re-order now: amaz0n-orders.com"
ham,"I found your keys. They were under the couch."
spam,"CONGRATULATIONS! You're our 5,000th visitor! Claim your FREE iPad: prize-winner.net"
ham,"Do you have the notes from yesterday's lecture?"
spam,"Attention: Your Netflix subscription will be canceled. Update payment: ntflx-payments.com"
ham,"Just checking in to see how you're doing. Haven't heard from you in a while."
spam,"BREAKING: New investment opportunity. 300% returns guaranteed! Limited spots: crypto-millions.com"
ham,"The doctor said everything looks good. Just need to take it easy for a few days."
spam,"ALERT: Unusual sign-in attempt on your account. Verify it's you: microsoft-secure.co"
ham,"Can you pick up some dog food on your way home?"
spam,"URGENT: Your UPS package #UP789456 is held at customs. Pay fee: ups-delivery.co/customs"
ham,"I got us tickets to the game on Saturday! So excited!"
